filename,file_path,true_class,predicted_class,confidence,error_type
44965k438.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k438.graphml,Ironbar_like,Nuts,0.7890573740005493,Ironbar_like → Nuts
exammodelsankuranubhav7.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav7.graphml,Ironbar_like,Screw_like,0.3097860813140869,Ironbar_like → Screw_like
mpraopart2.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart2.graphml,Ironbar_like,Power_transmission,0.5295127630233765,Ironbar_like → Power_transmission
exammodelsankuranubhav3.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav3.graphml,Ironbar_like,Screw_like,0.30978620052337646,Ironbar_like → Screw_like
mpraopart7.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart7.graphml,Ironbar_like,Screw_like,0.3818139433860779,Ironbar_like → Screw_like
raipipemodel5.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel5.graphml,Ironbar_like,Nuts,0.8760650157928467,Ironbar_like → Nuts
44965k439.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k439.graphml,Ironbar_like,Nuts,0.7665529251098633,Ironbar_like → Nuts
raipipemodel7.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel7.graphml,Ironbar_like,Nuts,0.799547016620636,Ironbar_like → Nuts
exammodelsankuranubhav6.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav6.graphml,Ironbar_like,Screw_like,0.30978620052337646,Ironbar_like → Screw_like
44965k434.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k434.graphml,Ironbar_like,Nuts,0.8225288987159729,Ironbar_like → Nuts
exammodelsankuranubhav2.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav2.graphml,Ironbar_like,Screw_like,0.30978620052337646,Ironbar_like → Screw_like
mpraopart0.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart0.graphml,Ironbar_like,Power_transmission,0.7413321733474731,Ironbar_like → Power_transmission
exammodelsankuranubhav9.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav9.graphml,Ironbar_like,Screw_like,0.3097861111164093,Ironbar_like → Screw_like
