filename,file_path,true_class,predicted_class,confidence,error_type
44965k438.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k438.graphml,Ironbar_like,Toroidal_fastener,0.9999992847442627,Ironbar_like → Toroidal_fastener
exammodelsankuranubhav7.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav7.graphml,Ironbar_like,Screw_like,0.474772185087204,Ironbar_like → Screw_like
mpraopart2.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart2.graphml,Ironbar_like,Toroidal_fastener,0.9979945421218872,Ironbar_like → Toroidal_fastener
exammodelsankuranubhav3.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav3.graphml,Ironbar_like,Screw_like,0.474772185087204,Ironbar_like → Screw_like
mpraopart7.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart7.graphml,Ironbar_like,Toroidal_fastener,0.9908596873283386,Ironbar_like → Toroidal_fastener
raipipemodel5.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel5.graphml,Ironbar_like,Toroidal_fastener,1.0,Ironbar_like → Toroidal_fastener
44965k439.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k439.graphml,Ironbar_like,Toroidal_fastener,0.9999991655349731,Ironbar_like → Toroidal_fastener
raipipemodel7.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel7.graphml,Ironbar_like,Toroidal_fastener,1.0,Ironbar_like → Toroidal_fastener
exammodelsankuranubhav6.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav6.graphml,Ironbar_like,Screw_like,0.474772185087204,Ironbar_like → Screw_like
44965k434.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k434.graphml,Ironbar_like,Toroidal_fastener,0.9999986886978149,Ironbar_like → Toroidal_fastener
exammodelsankuranubhav2.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav2.graphml,Ironbar_like,Screw_like,0.474772185087204,Ironbar_like → Screw_like
mpraopart0.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart0.graphml,Ironbar_like,Toroidal_fastener,0.9957171082496643,Ironbar_like → Toroidal_fastener
exammodelsankuranubhav9.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav9.graphml,Ironbar_like,Screw_like,0.474772185087204,Ironbar_like → Screw_like
44965k436.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k436.graphml,Ironbar_like,Toroidal_fastener,0.9999992847442627,Ironbar_like → Toroidal_fastener
raipipemodel6.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel6.graphml,Ironbar_like,Toroidal_fastener,1.0,Ironbar_like → Toroidal_fastener
raipipemodel4.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel4.graphml,Ironbar_like,Toroidal_fastener,1.0,Ironbar_like → Toroidal_fastener
exammodelsankuranubhav1.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav1.graphml,Ironbar_like,Screw_like,0.474772185087204,Ironbar_like → Screw_like
44965k431.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k431.graphml,Ironbar_like,Toroidal_fastener,0.9999964237213135,Ironbar_like → Toroidal_fastener
exammodelsankuranubhav4.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav4.graphml,Ironbar_like,Screw_like,0.474772185087204,Ironbar_like → Screw_like
raipipemodel2.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel2.graphml,Ironbar_like,Toroidal_fastener,1.0,Ironbar_like → Toroidal_fastener
raipipemodel1.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel1.graphml,Ironbar_like,Toroidal_fastener,1.0,Ironbar_like → Toroidal_fastener
mpraopart5.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart5.graphml,Ironbar_like,Toroidal_fastener,0.9987803101539612,Ironbar_like → Toroidal_fastener
exammodelsankuranubhav5.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav5.graphml,Ironbar_like,Screw_like,0.474772185087204,Ironbar_like → Screw_like
