filename,file_path,true_class,predicted_class,confidence,error_type
44965k438.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k438.graphml,Pipes,Nuts,0.40629926323890686,Pipes → Nuts
exammodelsankuranubhav7.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav7.graphml,Pipes,Slotted_head_screw,0.416458398103714,Pipes → Slotted_head_screw
mpraopart2.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart2.graphml,Pipes,Gears,0.3836178481578827,Pipes → Gears
exammodelsankuranubhav3.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav3.graphml,Pipes,Slotted_head_screw,0.416458398103714,Pipes → Slotted_head_screw
mpraopart7.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart7.graphml,Pipes,Ironbar,0.2599608898162842,Pipes → Ironbar
raipipemodel5.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel5.graphml,Pipes,Nuts,0.8247503638267517,Pipes → Nuts
44965k439.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k439.graphml,Pipes,Nuts,0.5072188377380371,Pipes → Nuts
raipipemodel7.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel7.graphml,Pipes,Nuts,0.9214528203010559,Pipes → Nuts
exammodelsankuranubhav6.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav6.graphml,Pipes,Slotted_head_screw,0.416458398103714,Pipes → Slotted_head_screw
44965k434.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k434.graphml,Pipes,Bushings,0.766474187374115,Pipes → Bushings
exammodelsankuranubhav2.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav2.graphml,Pipes,Slotted_head_screw,0.416458398103714,Pipes → Slotted_head_screw
mpraopart0.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart0.graphml,Pipes,Gears,0.48541387915611267,Pipes → Gears
exammodelsankuranubhav9.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav9.graphml,Pipes,Slotted_head_screw,0.4164583086967468,Pipes → Slotted_head_screw
44965k436.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k436.graphml,Pipes,Bushings,0.4647146463394165,Pipes → Bushings
raipipemodel6.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel6.graphml,Pipes,Nuts,0.8968786001205444,Pipes → Nuts
raipipemodel4.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel4.graphml,Pipes,Nuts,0.7329335808753967,Pipes → Nuts
exammodelsankuranubhav1.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav1.graphml,Pipes,Slotted_head_screw,0.4164583086967468,Pipes → Slotted_head_screw
44965k431.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k431.graphml,Pipes,Bushings,0.9077895283699036,Pipes → Bushings
exammodelsankuranubhav4.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav4.graphml,Pipes,Slotted_head_screw,0.4164583384990692,Pipes → Slotted_head_screw
raipipemodel2.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel2.graphml,Pipes,Nuts,0.5169999599456787,Pipes → Nuts
raipipemodel1.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel1.graphml,Pipes,Nuts,0.4350840151309967,Pipes → Nuts
mpraopart5.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart5.graphml,Pipes,Brackets,0.4391626715660095,Pipes → Brackets
exammodelsankuranubhav5.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav5.graphml,Pipes,Slotted_head_screw,0.4164583086967468,Pipes → Slotted_head_screw
mpraopart6.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart6.graphml,Pipes,Ironbar,0.27731144428253174,Pipes → Ironbar
mpraopart9.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart9.graphml,Pipes,Ironbar,0.19369961321353912,Pipes → Ironbar
raipipemodel3.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel3.graphml,Pipes,Nuts,0.653626024723053,Pipes → Nuts
exammodelsankuranubhav0.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav0.graphml,Pipes,Slotted_head_screw,0.4164583086967468,Pipes → Slotted_head_screw
44965k440.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k440.graphml,Pipes,Nuts,0.4845901429653168,Pipes → Nuts
mpraopart4.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart4.graphml,Pipes,Brackets,0.3853907585144043,Pipes → Brackets
44965k433.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k433.graphml,Pipes,Bushings,0.8768943548202515,Pipes → Bushings
